"Dates","ARCELOR.MITTAL"
"2001-05-30",9.04915
"2001-05-31",8.9498
"2001-06-01",8.9057
"2001-06-04",8.9057
"2001-06-05",8.8836
"2001-06-06",9.0823
"2001-06-07",8.77325
"2001-06-08",8.7512
"2001-06-11",8.7733
"2001-06-12",8.696
"2001-06-13",8.49735
"2001-06-14",8.8284
"2001-06-15",8.4753
"2001-06-18",8.6629
"2001-06-19",8.71805
"2001-06-20",8.48635
"2001-06-21",8.376
"2001-06-22",8.49735
"2001-06-25",8.21045
"2001-06-26",8.5305
"2001-06-27",8.376
"2001-06-28",8.18835
"2001-06-29",8.39805
"2001-07-02",8.4422
"2001-07-03",8.17735
"2001-07-04",8.17735
"2001-07-05",8.33185
"2001-07-06",8.2215
"2001-07-09",8.2767
"2001-07-10",8.11115
"2001-07-11",7.96765
"2001-07-12",7.9787
"2001-07-13",8.2546
"2001-07-16",8.2215
"2001-07-17",7.9456
"2001-07-18",7.89045
"2001-07-19",7.9456
"2001-07-20",7.9456
"2001-07-23",8.1332
"2001-07-24",7.93455
"2001-07-25",7.86835
"2001-07-26",8.0118
"2001-07-27",7.9235
"2001-07-30",7.7249
"2001-07-31",7.7249
"2001-08-01",8.2215
"2001-08-02",7.9456
"2001-08-03",8.0008
"2001-08-06",7.39385
"2001-08-07",7.40485
"2001-08-08",7.5152
"2001-08-09",7.34965
"2001-08-10",7.28345
"2001-08-13",7.04065
"2001-08-14",6.842
"2001-08-15",6.73165
"2001-08-16",6.40065
"2001-08-17",6.12475
"2001-08-20",5.9592
"2001-08-21",5.1315
"2001-08-22",5.4626
"2001-08-23",5.2419
"2001-08-24",5.23085
"2001-08-27",5.286
"2001-08-28",5.2971
"2001-08-29",5.18675
"2001-08-30",5.0212
"2001-08-31",5.0212
"2001-09-03",5.35225
"2001-09-04",5.26395
"2001-09-05",4.966
"2001-09-06",4.6901
"2001-09-07",4.6349
"2001-09-10",4.64595
"2001-09-11",4.4142
"2001-09-12",3.86245
"2001-09-13",3.96175
"2001-09-14",3.96175
"2001-09-17",3.80725
"2001-09-18",3.75205
"2001-09-19",3.9728
"2001-09-20",3.92865
